SURFACE;PLAYER;W;L;Ace_Pct;Df_Pct;1st_Serve_Pct;1st_Serve_Won_Pct;2nd_Serve_Won_Pct;Break_Pt_Saved_Pct;Break_Pt_Won_Pct;1st_Serve_Return_Won_Pct;2nd_Serve_Return_Won_Pct;bp_oppy;Games_Played;Rank;Points
Clay;Roberto Bautista Agut;55;33;0.033;0.022;0.665;0.687;0.556;0.618;0.429;0.326;0.564;685;88;24;1605
Hard;Roberto Bautista Agut;138;71;0.045;0.028;0.64;0.711;0.594;0.635;0.416;0.304;0.586;1627;209;24;1605
Carpet;Hyeon Chung;0;1;0.015;0.031;0.631;0.61;0.409;0.727;0;0.065;0.52;4;1;25;1585
Grass;Hyeon Chung;1;2;0.039;0.053;0.601;0.694;0.622;0.645;0.412;0.232;0.604;17;3;25;1585
Clay;Hyeon Chung;28;16;0.039;0.032;0.648;0.721;0.548;0.588;0.451;0.33;0.605;319;44;25;1585
Hard;Hyeon Chung;131;64;0.054;0.037;0.623;0.708;0.575;0.593;0.441;0.329;0.61;1525;195;25;1585
Grass;Richard Gasquet;23;12;0.067;0.025;0.651;0.755;0.565;0.663;0.366;0.292;0.545;279;35;26;1535
Clay;Richard Gasquet;43;18;0.045;0.023;0.611;0.707;0.566;0.616;0.465;0.345;0.573;493;61;26;1535
Hard;Richard Gasquet;110;64;0.07;0.026;0.628;0.729;0.584;0.599;0.41;0.285;0.568;1173;174;26;1535
Grass;Denis Shapovalov;8;8;0.119;0.055;0.591;0.773;0.623;0.68;0.291;0.251;0.516;110;16;27;1440
Clay;Denis Shapovalov;9;11;0.056;0.055;0.564;0.713;0.611;0.597;0.376;0.267;0.511;117;20;27;1440
Hard;Denis Shapovalov;66;44;0.1;0.065;0.567;0.757;0.622;0.641;0.399;0.285;0.546;674;110;27;1440
Grass;Fernando Verdasco;10;15;0.123;0.064;0.601;0.764;0.603;0.708;0.304;0.256;0.493;168;25;28;1410
Clay;Fernando Verdasco;60;41;0.049;0.039;0.686;0.696;0.593;0.62;0.395;0.333;0.574;876;101;28;1410
Hard;Fernando Verdasco;71;69;0.081;0.053;0.638;0.727;0.579;0.627;0.4;0.287;0.55;957;140;28;1410
Grass;Gael Monfils;18;11;0.138;0.035;0.671;0.763;0.578;0.679;0.341;0.289;0.485;217;29;29;1400
Clay;Gael Monfils;39;25;0.065;0.042;0.671;0.687;0.571;0.612;0.443;0.346;0.549;535;64;29;1400
Hard;Gael Monfils;105;48;0.117;0.048;0.622;0.748;0.588;0.624;0.437;0.314;0.557;1124;153;29;1400
Grass;Gilles Simon;19;15;0.055;0.022;0.59;0.732;0.572;0.656;0.436;0.286;0.571;257;34;30;1370
Clay;Gilles Simon;41;36;0.039;0.03;0.572;0.664;0.538;0.584;0.445;0.336;0.566;629;77;30;1370
Hard;Gilles Simon;95;73;0.052;0.031;0.582;0.69;0.557;0.585;0.447;0.31;0.594;1309;168;30;1370
Grass;Alex De Minaur;20;8;0.05;0.048;0.616;0.72;0.661;0.651;0.416;0.315;0.605;209;28;31;1298
Clay;Alex De Minaur;11;14;0.032;0.037;0.554;0.635;0.565;0.508;0.362;0.322;0.562;210;25;31;1298
Hard;Alex De Minaur;59;37;0.052;0.039;0.59;0.694;0.583;0.631;0.408;0.288;0.606;682;96;31;1298
Grass;Lucas Pouille;13;9;0.126;0.045;0.573;0.782;0.566;0.644;0.359;0.224;0.504;142;22;32;1245
Clay;Lucas Pouille;62;38;0.056;0.041;0.562;0.697;0.573;0.615;0.429;0.336;0.553;769;100;32;1245
Hard;Lucas Pouille;98;69;0.092;0.045;0.562;0.734;0.574;0.64;0.403;0.279;0.55;1111;167;32;1245
Grass;Steve Johnson;29;20;0.114;0.04;0.62;0.765;0.576;0.651;0.399;0.269;0.545;288;49;33;1190
Clay;Steve Johnson;31;22;0.074;0.036;0.584;0.734;0.574;0.645;0.383;0.278;0.496;337;53;33;1190
Hard;Steve Johnson;111;87;0.115;0.035;0.592;0.761;0.588;0.64;0.355;0.264;0.518;1149;198;33;1190
Grass;Philipp Kohlschreiber;18;13;0.096;0.024;0.61;0.758;0.607;0.673;0.364;0.256;0.553;195;31;34;1125
Clay;Philipp Kohlschreiber;65;40;0.057;0.02;0.616;0.705;0.58;0.584;0.434;0.328;0.572;816;105;34;1125
Hard;Philipp Kohlschreiber;70;59;0.075;0.028;0.596;0.74;0.575;0.642;0.393;0.277;0.532;820;129;34;1125
Grass;Nick Kyrgios;23;11;0.195;0.042;0.684;0.772;0.629;0.677;0.38;0.235;0.474;192;34;35;1125
Clay;Nick Kyrgios;33;18;0.127;0.035;0.654;0.746;0.602;0.639;0.37;0.273;0.536;332;51;35;1125
Hard;Nick Kyrgios;87;44;0.182;0.046;0.634;0.781;0.616;0.671;0.391;0.249;0.553;790;131;35;1125
Carpet;Marton Fucsovics;2;1;0.036;0.071;0.474;0.705;0.621;0.71;0.409;0.284;0.582;22;3;36;1122
Grass;Marton Fucsovics;8;5;0.077;0.061;0.524;0.753;0.588;0.541;0.457;0.324;0.548;81;13;36;1122
Clay;Marton Fucsovics;75;54;0.041;0.038;0.573;0.67;0.567;0.598;0.44;0.343;0.585;1030;129;36;1122
Hard;Marton Fucsovics;94;65;0.074;0.044;0.567;0.727;0.58;0.629;0.403;0.322;0.572;1222;159;36;1122
Grass;Andreas Seppi;22;18;0.079;0.025;0.614;0.757;0.571;0.633;0.393;0.289;0.552;257;40;37;1106
Clay;Andreas Seppi;29;36;0.05;0.029;0.573;0.682;0.533;0.594;0.418;0.32;0.531;483;65;37;1106
Hard;Andreas Seppi;83;80;0.08;0.035;0.556;0.739;0.549;0.623;0.399;0.268;0.563;1122;163;37;1106
Carpet;John Millman;0;1;0.038;0.019;0.604;0.563;0.5;0.556;0;0.226;0.462;7;1;38;1083
Grass;John Millman;13;14;0.041;0.02;0.647;0.691;0.545;0.564;0.412;0.267;0.562;177;27;38;1083
Clay;John Millman;18;16;0.042;0.029;0.623;0.648;0.567;0.577;0.492;0.345;0.566;252;34;38;1083
