SURFACE;PLAYER;W;L;Ace_Pct;Df_Pct;1st_Serve_Pct;1st_Serve_Won_Pct;2nd_Serve_Won_Pct;Break_Pt_Saved_Pct;Break_Pt_Won_Pct;1st_Serve_Return_Won_Pct;2nd_Serve_Return_Won_Pct;bp_oppy;Games_Played;Rank;Points
Hard;Andreas Siljestrom;0;2;0.084;0.084;0.649;0.671;0.4;0.5;0.3;0.25;0.556;10;2;-;0
Clay;Andreas Siljestrom;1;1;0.089;0.067;0.615;0.687;0.535;0.583;0.417;0.321;0.5;12;2;-;0
Grass;N Vijay Sundar Prashanth;0;1;0.098;0.033;0.639;0.667;0.65;0;0;0.243;0.188;0;1;-;0
Clay;N Vijay Sundar Prashanth;1;3;0.028;0.036;0.641;0.646;0.452;0.725;0.524;0.267;0.629;21;4;-;0
Hard;N Vijay Sundar Prashanth;28;39;0.07;0.045;0.576;0.704;0.56;0.59;0.395;0.285;0.548;380;67;-;0
Hard;Juan Lizariturry;2;2;0.027;0.045;0.643;0.641;0.478;0.607;0.435;0.39;0.621;23;4;-;0
Clay;Juan Lizariturry;6;12;0.036;0.038;0.595;0.643;0.489;0.545;0.553;0.305;0.562;85;18;-;0
Carpet;Andriej Kapas;0;1;0.108;0;0.554;0.806;0.517;0.667;0;0.241;0.368;5;1;-;0
Clay;Andriej Kapas;9;15;0.058;0.066;0.567;0.682;0.547;0.51;0.409;0.285;0.592;132;24;-;0
Hard;Andriej Kapas;20;18;0.12;0.045;0.589;0.786;0.614;0.688;0.436;0.243;0.552;179;38;-;0
Grass;George Loffhagen;0;2;0.057;0.057;0.602;0.662;0.429;0.429;0.5;0.209;0.405;4;2;-;0
Hard;Stuart Parker;1;2;0.051;0.057;0.624;0.724;0.44;0.471;0.389;0.3;0.557;18;3;-;0
Hard;Jean Yves Aubone;3;3;0.048;0.018;0.687;0.647;0.592;0.59;0.406;0.288;0.508;32;6;-;0
Clay;Jean Yves Aubone;1;3;0.026;0.017;0.681;0.64;0.462;0.605;0.348;0.303;0.443;23;4;-;0
Hard;Denys Mylokostov;0;1;0;0.065;0.548;0.294;0.167;0.25;0;0.056;0.333;1;1;-;0
Hard;Bumpei Sato;1;4;0.043;0.025;0.616;0.581;0.48;0.476;0.407;0.31;0.608;27;5;-;0
Clay;Jimmy Wang;0;1;0.012;0.024;0.627;0.5;0.552;0.571;0.556;0.404;0.579;9;1;-;0
Carpet;Jimmy Wang;3;2;0.065;0.028;0.588;0.759;0.576;0.316;0.467;0.313;0.561;30;5;-;0
Grass;Jimmy Wang;5;5;0.052;0.036;0.652;0.682;0.588;0.609;0.324;0.253;0.589;74;10;-;0
Hard;Jimmy Wang;64;52;0.05;0.034;0.603;0.696;0.574;0.581;0.432;0.322;0.576;785;116;-;0
Clay;Maxime Teixeira;11;25;0.041;0.065;0.628;0.619;0.498;0.537;0.432;0.321;0.564;229;36;-;0
Hard;Maxime Teixeira;16;27;0.069;0.056;0.62;0.681;0.506;0.498;0.443;0.305;0.537;255;43;-;0
Hard;Sumit Sarkar;0;1;0.016;0.032;0.532;0.545;0.407;0.6;0.333;0.262;0.529;6;1;-;0
Clay;Dino Marcan;10;13;0.012;0.061;0.604;0.658;0.574;0.493;0.51;0.368;0.621;155;23;-;0
Hard;Dino Marcan;5;9;0.027;0.058;0.636;0.635;0.558;0.566;0.41;0.277;0.52;61;14;-;0
Clay;Ruben Gonzales;4;3;0.06;0.052;0.649;0.652;0.645;0.609;0.333;0.324;0.545;69;7;-;0
Hard;Ruben Gonzales;8;10;0.097;0.048;0.685;0.689;0.612;0.625;0.5;0.275;0.524;84;18;-;0
Hard;Harshana Godamanna;1;1;0.089;0.012;0.63;0.716;0.641;0.773;0.438;0.245;0.462;16;2;-;0
Clay;Christopher Kas;2;1;0.015;0.036;0.613;0.664;0.529;0.556;0.467;0.372;0.659;30;3;-;0
Hard;Mousheg Hovhannisyan;0;4;0.025;0.041;0.601;0.623;0.494;0.515;0.227;0.208;0.582;22;4;-;0
Hard;Maxime Petel;0;1;0.018;0.036;0.436;0.583;0.448;0.2;0;0.19;0.238;1;1;-;0
Clay;Tomislav Ternar;0;1;0;0.119;0.643;0.37;0.2;0;0.333;0.37;0.526;6;1;-;0
Hard;Tomislav Ternar;0;3;0.016;0.103;0.524;0.682;0.383;0.438;0.222;0.286;0.394;9;3;-;0
Hard;Ricardo Villacorta Alonso;2;2;0.081;0.035;0.641;0.724;0.531;0.733;0.25;0.297;0.526;24;4;-;0
Clay;Nigmat Shofayziev;0;5;0.099;0.081;0.565;0.681;0.444;0.596;0.235;0.255;0.435;17;5;-;0
Hard;Nigmat Shofayziev;4;11;0.107;0.067;0.61;0.649;0.474;0.625;0.301;0.276;0.556;83;15;-;0
Hard;Vladimir Uzhylovsky;7;10;0.09;0.06;0.546;0.764;0.578;0.62;0.468;0.23;0.592;79;17;-;0
Clay;Ariel Behar;0;1;0.055;0.109;0.382;0.857;0.464;0.25;0;0.235;0.417;3;1;-;0
Clay;Vladimir Uzhylovsky;4;11;0.057;0.061;0.561;0.688;0.495;0.618;0.375;0.279;0.51;80;15;-;0
Hard;Matias Sborowitz;0;1;0.031;0.077;0.492;0.563;0.536;0.333;0.333;0.16;0.4;3;1;-;0
Clay;Matias Sborowitz;1;2;0.023;0.064;0.526;0.648;0.451;0.476;0.45;0.323;0.603;20;3;-;0
Clay;Charles Costa;0;1;0.036;0.091;0.527;0.586;0.286;0.375;0;0.29;0.455;0;1;-;0
Clay;Petr Michnev;11;17;0.065;0.031;0.541;0.682;0.507;0.585;0.379;0.317;0.547;182;28;-;0
Hard;Petr Michnev;10;11;0.135;0.045;0.562;0.746;0.529;0.602;0.459;0.262;0.556;85;21;-;0
Clay;Jonathan Hilaire;1;2;0.009;0.033;0.58;0.577;0.463;0.571;0.367;0.298;0.776;30;3;-;0
Hard;Jonathan Hilaire;1;2;0.038;0.042;0.488;0.679;0.511;0.552;0.471;0.255;0.556;17;3;-;0
Clay;Dragos Nicolae Madaras;0;1;0;0;0.636;0.429;0.125;0.5;0;0.25;0.25;0;1;-;0
Hard;Dragos Nicolae Madaras;1;2;0.066;0.015;0.679;0.744;0.483;0.588;0.294;0.193;0.671;17;3;-;0
Hard;Ye Cong Mo;2;1;0.054;0.029;0.493;0.703;0.561;0.524;0.346;0.391;0.514;26;3;-;0
Hard;Karan Rastogi;1;0;0;0.03;0.733;0.716;0.75;0.8;0.471;0.317;0.759;17;1;-;0
Clay;Stefan Seifert;1;1;0.029;0.029;0.6;0.627;0.556;0.632;0.636;0.227;0.706;11;2;-;0
Hard;Anoosha Shahgholi;0;1;0.013;0.026;0.776;0.559;0.333;0.538;0;0.088;0.44;1;1;-;0
Hard;Boris Nicola Bakalov;0;1;0.025;0.3;0.425;0.647;0.545;0;0.5;0.29;0.2;2;1;-;0
Clay;Luke Bambridge;1;4;0.074;0.074;0.487;0.662;0.504;0.55;0.25;0.262;0.477;16;5;-;0
Grass;Luke Bambridge;4;7;0.137;0.036;0.61;0.775;0.541;0.655;0.4;0.25;0.52;45;11;-;0
Hard;Luke Bambridge;27;30;0.11;0.058;0.537;0.731;0.575;0.616;0.409;0.297;0.533;335;57;-;0
Hard;Brian Battistone;0;1;0.015;0.191;0.632;0.651;0.583;0.5;0.25;0.263;0.533;4;1;-;0
Hard;Adelchi Virgili;0;2;0.065;0.102;0.611;0.606;0.645;0.462;0.333;0.173;0.314;3;2;-;0
Clay;Adelchi Virgili;15;19;0.055;0.07;0.553;0.696;0.532;0.546;0.49;0.36;0.6;255;34;-;0
Clay;Francois Arthur Vibert;0;2;0.025;0.056;0.578;0.602;0.525;0.542;0.381;0.284;0.594;21;2;-;0
Hard;Antonio Ruiz Rosales;3;4;0.041;0.05;0.587;0.708;0.528;0.63;0.486;0.34;0.566;37;7;-;0
Hard;Julien Obry;0;3;0.04;0.031;0.583;0.708;0.36;0.409;0.389;0.281;0.516;18;3;-;0
Clay;Chuhan Wang;1;3;0.071;0.027;0.618;0.604;0.613;0.5;0.429;0.305;0.387;14;4;-;0
Hard;Chuhan Wang;10;33;0.044;0.049;0.588;0.621;0.496;0.521;0.36;0.297;0.57;272;43;-;0
Clay;Julien Obry;6;8;0.032;0.036;0.582;0.656;0.544;0.636;0.4;0.289;0.547;80;14;-;0
Clay;Jakub Lustyk;1;1;0.006;0.089;0.5;0.62;0.415;0.577;0.412;0.337;0.893;17;2;-;0
Hard;Andre Dome;0;1;0.022;0.067;0.578;0.577;0.5;0.5;0;0.08;0.417;0;1;-;0
Clay;Bojan Szumanski;0;1;0.023;0.136;0.545;0.542;0.286;0.333;0;0.13;0.667;0;1;-;0
Hard;Patrick Tierro;0;2;0.014;0.041;0.622;0.652;0.56;0.647;0.25;0.115;0.444;8;2;-;0
Carpet;Itsuki Imina;1;1;0.061;0.008;0.725;0.705;0.629;0.727;0.25;0.154;0.435;4;2;-;0
Clay;Younes Rachidi;0;6;0;0.09;0.624;0.446;0.447;0.326;0.333;0.181;0.375;9;6;-;0
Hard;Jayden Court;3;2;0.078;0.032;0.632;0.684;0.61;0.75;0.375;0.258;0.571;24;5;-;0
Clay;Erik Chvojka;0;1;0.06;0.096;0.639;0.736;0.409;0.692;0.167;0.333;0.488;12;1;-;0
Hard;Erik Chvojka;0;1;0.027;0.1;0.527;0.759;0.585;0.75;0.333;0.296;0.579;9;1;-;0
Hard;Loic Perret;0;3;0.071;0.052;0.602;0.63;0.37;0.514;0.5;0.292;0.649;14;3;-;0
Clay;Loic Perret;2;3;0.029;0.048;0.625;0.599;0.544;0.581;0.65;0.32;0.573;20;5;-;0
Clay;Matias Soto;0;1;0.027;0.081;0.541;0.6;0.357;0;0;0.207;0.409;7;1;-;0
Clay;Pascal Brunner;3;8;0.057;0.026;0.583;0.66;0.481;0.533;0.463;0.319;0.582;67;11;-;0
Hard;Ty Trombetta;0;1;0.068;0.023;0.636;0.607;0.333;0.2;0.333;0.192;0.364;3;1;-;0
Hard;Rayane Roumane;0;1;0.113;0.113;0.463;0.784;0.324;0.444;0.429;0.35;0.478;7;1;-;0
Hard;Antonio Cembellin;1;1;0;0.064;0.657;0.598;0.436;0.412;0.5;0.361;0.621;14;2;-;0
Clay;Marko Danis;0;1;0;0.066;0.492;0.467;0.481;0.375;0.5;0.24;0.35;2;1;-;0
Hard;Juan Sebastian Gomez;0;4;0.02;0.095;0.632;0.512;0.473;0.394;0.364;0.237;0.408;11;4;-;0
Clay;Juan Sebastian Gomez;14;18;0.027;0.074;0.646;0.6;0.524;0.532;0.46;0.343;0.633;237;32;-;0
Hard;Adrien Puget;0;1;0.035;0.07;0.474;0.704;0.423;0.6;1;0.266;0.618;4;1;-;0
Clay;Adrien Puget;3;4;0.074;0.061;0.559;0.71;0.523;0.6;0.564;0.337;0.519;39;7;-;0
Clay;Andre Ghem;93;83;0.039;0.036;0.577;0.703;0.545;0.602;0.394;0.343;0.546;1372;176;-;0
Hard;Andre Ghem;21;22;0.043;0.037;0.583;0.696;0.551;0.557;0.461;0.294;0.553;241;43;-;0
Clay;Demian Raab;0;2;0.024;0.041;0.52;0.516;0.574;0.529;0.286;0.286;0.516;7;2;-;0
Hard;Fabiano De Paula;2;4;0.012;0.029;0.663;0.651;0.496;0.525;0.361;0.313;0.575;36;6;-;0
Clay;Fabiano De Paula;20;33;0.018;0.026;0.692;0.613;0.516;0.576;0.392;0.313;0.579;357;53;-;0
Clay;Marek Michalicka;18;23;0.035;0.052;0.588;0.625;0.529;0.527;0.475;0.356;0.593;320;41;-;0
Hard;Marek Michalicka;7;13;0.056;0.05;0.563;0.677;0.568;0.62;0.351;0.259;0.54;114;20;-;0
Clay;Peter Vajda;1;4;0.022;0.095;0.571;0.58;0.511;0.4;0.5;0.276;0.568;20;5;-;0
Hard;Peter Vajda;1;1;0.151;0.048;0.667;0.75;0.639;0.625;0.5;0.258;0.441;4;2;-;0
Hard;Matthieu Roy;1;1;0.113;0.104;0.481;0.765;0.591;0.556;0.667;0.327;0.488;6;2;-;0
Hard;Thibaud Berland;1;3;0.008;0.041;0.66;0.646;0.521;0.594;0.471;0.268;0.533;17;4;-;0
Clay;Elie Rousset;0;1;0.057;0.071;0.543;0.684;0.741;0.4;0.429;0.273;0.486;7;1;-;0
Clay;Markos Kalovelonis;3;2;0.101;0.034;0.622;0.701;0.593;0.69;0.5;0.28;0.515;20;5;-;0
Hard;Elie Rousset;4;5;0.098;0.04;0.635;0.737;0.553;0.649;0.34;0.269;0.535;47;9;-;0
Hard;Markos Kalovelonis;10;8;0.104;0.042;0.583;0.703;0.543;0.648;0.333;0.28;0.542;117;18;-;0
Clay;Mark Vervoort;0;5;0.035;0.061;0.6;0.602;0.505;0.487;0.263;0.247;0.421;19;5;-;0
Hard;Mark Vervoort;0;5;0.051;0.058;0.644;0.621;0.476;0.5;0;0.148;0.319;0;5;-;0
Hard;Juan Carlos Saez;0;1;0.043;0.054;0.591;0.745;0.424;0.636;0.3;0.217;0.59;10;1;-;0
Hard;Mikhail Biryukov;0;2;0.019;0.032;0.658;0.625;0.551;0.588;0.3;0.193;0.537;10;2;-;0
Clay;Juan Carlos Saez;11;23;0.022;0.034;0.646;0.597;0.508;0.537;0.442;0.342;0.569;224;34;-;0
Clay;Joachim Bjerke;0;1;0.014;0.082;0.575;0.548;0.4;0.2;0.333;0.42;0.5;12;1;-;0
Hard;Alexandar Lazarov;1;4;0.051;0.06;0.522;0.694;0.537;0.6;0.29;0.216;0.523;31;5;-;0
Clay;Alexandar Lazarov;1;1;0.045;0.027;0.658;0.616;0.486;0.455;0.5;0.325;0.684;10;2;-;0
Hard;Yusuke Watanuki;8;16;0.061;0.044;0.557;0.669;0.539;0.532;0.387;0.3;0.545;124;24;-;0
Clay;Yusuke Watanuki;0;1;0.015;0.076;0.515;0.735;0.593;0.6;0;0.135;0.348;2;1;-;0
Carpet;Yusuke Watanuki;0;2;0.085;0.023;0.527;0.809;0.603;0.25;0;0.167;0.48;7;2;-;0
Clay;Nerman Fatic;0;2;0.019;0.078;0.656;0.634;0.415;0.522;0.583;0.391;0.434;12;2;-;0
Hard;Nerman Fatic;2;2;0.054;0.048;0.622;0.655;0.65;0.615;0.333;0.286;0.453;24;4;-;0
Clay;Andras Szekely;0;1;0;0.15;0.6;0.444;0.533;0.455;0.2;0.267;0.429;5;1;-;0
Hard;Patrick Prader;0;2;0.073;0.029;0.613;0.702;0.531;0.667;0;0.129;0.326;0;2;-;0
Clay;Mauricio Alvarez Guzman;0;1;0;0.067;0.467;0.476;0.381;0.167;0;0;0.467;0;1;-;0
Clay;Costin Paval;0;1;0.036;0.145;0.473;0.5;0.571;0.583;0;0.273;0.143;0;1;-;0
Hard;Nicola Ghedin;0;1;0.071;0.054;0.5;0.714;0.48;0.571;0.25;0.103;0.667;4;1;-;0
Clay;Nicola Ghedin;1;6;0.005;0.017;0.606;0.583;0.49;0.431;0.349;0.275;0.579;43;7;-;0
Hard;Amine Ahouda;0;1;0;0.212;0.455;0.6;0.364;0;0;0.05;0.2;0;1;-;0
Carpet;Amine Ahouda;0;1;0.013;0.039;0.566;0.651;0.467;0.375;0;0.118;0.259;0;1;-;0
Clay;Amine Ahouda;3;11;0.009;0.062;0.561;0.594;0.505;0.475;0.408;0.279;0.464;49;14;-;0
Clay;Rhyne Williams;1;6;0.031;0.019;0.636;0.606;0.569;0.5;0.311;0.292;0.547;45;7;-;0
Grass;Rhyne Williams;1;1;0.068;0.034;0.735;0.64;0.444;0.5;0.75;0.196;0.613;4;2;-;0
Hard;Rhyne Williams;26;23;0.087;0.034;0.608;0.703;0.543;0.589;0.416;0.27;0.563;291;49;-;0
Hard;Jorge Montero;4;5;0.036;0.04;0.59;0.684;0.544;0.621;0.586;0.244;0.526;29;9;-;0
Clay;Jorge Montero;9;13;0.045;0.054;0.566;0.689;0.562;0.589;0.477;0.288;0.615;109;22;-;0
Hard;Nicolas Ngodrela;0;2;0.065;0.053;0.535;0.703;0.486;0.55;0.357;0.215;0.608;14;2;-;0
Hard;Trevor Allen Johnson;1;2;0.09;0.03;0.668;0.714;0.517;0.65;0.316;0.302;0.479;19;3;-;0
Hard;Rafael Matos;1;1;0.017;0.084;0.57;0.598;0.565;0.577;0.529;0.383;0.571;17;2;-;0
Clay;Rafael Matos;2;7;0.027;0.034;0.637;0.589;0.578;0.443;0.465;0.319;0.491;43;9;-;0
Hard;Uisung Park;0;3;0.029;0.052;0.547;0.574;0.478;0.391;0.174;0.234;0.541;23;3;-;0
Hard;Bastien Presuhn;0;1;0.041;0.055;0.589;0.605;0.462;0.75;0;0;0.45;0;1;-;0
Hard;George Houghton;1;1;0.054;0.018;0.676;0.76;0.559;0.714;0.333;0.19;0.556;6;2;-;0
Hard;Patrik Obal;0;1;0.067;0;0.657;0.565;0.472;0.467;0.571;0.307;0.783;7;1;-;0
Hard;Alan Gadjiev;0;3;0.052;0.104;0.578;0.739;0.475;0.455;0.333;0.258;0.514;12;3;-;0
Clay;Chris Letcher;0;1;0.017;0.133;0.55;0.636;0.526;0.167;0.6;0.206;0.933;5;1;-;0
Clay;Manuel Barros;0;2;0.025;0.099;0.531;0.535;0.433;0.429;0;0.19;0.448;6;2;-;0
Grass;Ken Skupski;0;1;0.045;0.045;0.591;0.744;0.583;0.667;0;0.132;0.423;1;1;-;0
Hard;Sebastian Lopez;0;1;0.019;0.057;0.698;0.541;0.308;0.545;0;0.053;0.333;1;1;-;0
Hard;Ken Skupski;0;1;0.024;0.06;0.667;0.625;0.565;0.667;1;0.351;0.227;1;1;-;0
Hard;Piotr Matuszewski;0;1;0.136;0.086;0.457;0.784;0.703;0.75;0.25;0.051;0.519;4;1;-;0
Clay;Piotr Matuszewski;0;4;0.022;0.063;0.536;0.558;0.422;0.419;0.176;0.245;0.514;17;4;-;0
Clay;Kenneth Raisma;0;3;0.014;0.061;0.559;0.571;0.506;0.636;0.364;0.243;0.596;11;3;-;0
Carpet;Liang Chi Huang;1;2;0.079;0.04;0.531;0.723;0.539;0.75;0.556;0.278;0.552;9;3;-;0
Clay;Liang Chi Huang;2;2;0.035;0.085;0.634;0.672;0.607;0.59;0.606;0.383;0.594;33;4;-;0
Hard;Kenneth Raisma;2;3;0.048;0.064;0.65;0.686;0.611;0.655;0.441;0.354;0.596;34;5;-;0
Hard;Liang Chi Huang;11;30;0.046;0.034;0.62;0.657;0.514;0.564;0.377;0.272;0.532;207;41;-;0
Hard;Leon Frost;0;1;0.02;0;0.58;0.655;0.429;0.4;0;0.1;0.348;3;1;-;0
Clay;Olivier Duberville;0;1;0.072;0.043;0.536;0.541;0.517;0.375;0.5;0.352;0.28;2;1;-;0
Grass;Chase Buchanan;0;1;0;0.031;0.734;0.574;0.4;0.7;0;0.244;0.455;1;1;-;0
Clay;Chase Buchanan;13;18;0.039;0.06;0.612;0.656;0.537;0.544;0.442;0.331;0.56;197;31;-;0
Hard;Chase Buchanan;31;32;0.052;0.05;0.645;0.693;0.548;0.598;0.442;0.284;0.542;364;63;-;0
Hard;Victor Baluda;4;7;0.036;0.049;0.618;0.614;0.461;0.511;0.492;0.372;0.495;61;11;-;0
Clay;Victor Baluda;0;1;0.052;0.093;0.588;0.649;0.581;0.4;0.556;0.31;0.742;9;1;-;0
Hard;Mithun Murali;0;1;0;0.047;0.57;0.694;0.394;0.6;0.5;0.188;0.674;8;1;-;0
Hard;Stanislav Vovk;0;2;0.017;0.067;0.65;0.513;0.588;0.353;0.6;0.183;0.609;5;2;-;0
Hard;Jaime Pulgar Garcia;1;4;0.032;0.045;0.623;0.637;0.476;0.609;0.387;0.281;0.635;31;5;-;0
Hard;Jake Eames;1;2;0.031;0.055;0.52;0.606;0.611;0.438;0.545;0.298;0.525;11;3;-;0
Hard;Ku Keon Kang;0;2;0;0.019;0.654;0.529;0.514;0.25;0.167;0.319;0.378;12;2;-;0
Hard;Isaac Frost;1;1;0.266;0.086;0.5;0.813;0.698;0.714;0.5;0.25;0.561;6;2;-;0
Hard;Adrian Andrzejczuk;0;1;0.069;0.069;0.676;0.739;0.5;0.6;0.273;0.299;0.606;11;1;-;0
Clay;Adrian Andrzejczuk;1;3;0.046;0.095;0.635;0.611;0.521;0.467;0.375;0.306;0.567;24;4;-;0
Clay;Maciej Smola;1;2;0.104;0.099;0.554;0.723;0.529;0.692;0.368;0.317;0.625;19;3;-;0
Clay;Baris Erguden;0;2;0.051;0.051;0.494;0.513;0.444;0.417;0;0.224;0.44;2;2;-;0
Hard;Baris Erguden;0;8;0.064;0.058;0.516;0.633;0.536;0.491;0.375;0.207;0.479;16;8;-;0
Hard;Carl Soderlund;2;4;0.03;0.048;0.604;0.62;0.531;0.613;0.448;0.308;0.516;29;6;-;0
Clay;Carl Soderlund;6;7;0.023;0.035;0.588;0.668;0.529;0.579;0.422;0.302;0.59;90;13;-;0
Hard;Andrea Guerrieri;1;2;0.023;0.068;0.608;0.659;0.514;0.577;0.385;0.245;0.632;13;3;-;0
Clay;Andrea Guerrieri;2;7;0.017;0.057;0.591;0.59;0.57;0.529;0.514;0.282;0.63;35;9;-;0
Hard;Ryota Tanuma;5;10;0.048;0.032;0.599;0.658;0.547;0.558;0.356;0.283;0.486;73;15;-;0
Hard;Masaya Kobayashi;1;3;0.017;0.021;0.672;0.601;0.556;0.519;0.333;0.321;0.515;24;4;-;0
Hard;Steven Goh;0;1;0.055;0.091;0.691;0.579;0.417;0.667;0;0.1;0.133;0;1;-;0
Clay;Goncalo Pereira;1;1;0.015;0.045;0.664;0.573;0.513;0.5;0.389;0.352;0.857;18;2;-;0
Clay;Matias Castro;0;1;0.045;0.136;0.5;0.576;0.333;0.6;0;0.071;0.308;0;1;-;0
Clay;Nikola Cacic;20;23;0.049;0.031;0.585;0.691;0.51;0.619;0.387;0.312;0.538;256;43;-;0
Hard;Nikola Cacic;10;16;0.075;0.032;0.626;0.721;0.575;0.672;0.397;0.233;0.555;121;26;-;0
Clay;Vit Kopriva;3;13;0.032;0.044;0.579;0.643;0.508;0.608;0.383;0.29;0.612;115;16;-;0
Hard;Vit Kopriva;0;2;0.109;0.054;0.589;0.618;0.543;0.6;0.286;0.268;0.563;7;2;-;0
Hard;Milos Sekulic;2;2;0.016;0.032;0.539;0.689;0.594;0.656;0.279;0.346;0.623;43;4;-;0
Clay;Milos Sekulic;4;7;0.021;0.058;0.532;0.657;0.501;0.527;0.5;0.342;0.605;84;11;-;0
Clay;Chieh Fu Wang;0;1;0.033;0.055;0.637;0.638;0.393;0.455;0.25;0.308;0.333;8;1;-;0
Carpet;Chieh Fu Wang;0;2;0.074;0.066;0.639;0.731;0.556;0.722;0;0.093;0.464;1;2;-;0
Hard;Chieh Fu Wang;1;5;0.119;0.065;0.579;0.69;0.487;0.511;0.667;0.181;0.492;15;6;-;0
Clay;Alessandro Coppini;0;5;0.057;0.077;0.505;0.603;0.4;0.432;0.45;0.295;0.465;20;5;-;0
Hard;Zach Itzstein;1;2;0.054;0.063;0.629;0.669;0.568;0.458;0.467;0.3;0.506;15;3;-;0
Hard;Jorge Brian Panta Herreros;1;2;0.055;0.04;0.503;0.7;0.429;0.567;0.474;0.258;0.648;19;3;-;0
Hard;Justin S Shane;2;3;0.097;0.058;0.585;0.689;0.475;0.615;0.417;0.255;0.558;24;5;-;0
Clay;Jorge Brian Panta Herreros;2;8;0.049;0.045;0.547;0.614;0.518;0.544;0.388;0.267;0.546;49;10;-;0
Clay;Sergio Galdos;3;10;0.05;0.048;0.641;0.692;0.538;0.538;0.28;0.295;0.549;82;13;-;0
Hard;Daniel Appelgren;0;1;0.113;0.038;0.5;0.75;0.622;0.2;0.375;0.235;0.545;8;1;-;0
Clay;Daniel Appelgren;3;4;0.023;0.014;0.638;0.622;0.567;0.474;0.541;0.319;0.582;37;7;-;0
Hard;Kelsey Stevenson;2;5;0.037;0.04;0.565;0.67;0.484;0.636;0.5;0.265;0.449;18;7;-;0
Clay;Lauri Kiiski;2;3;0.068;0.054;0.562;0.673;0.581;0.571;0.458;0.271;0.579;24;5;-;0
Clay;Enrico Iannuzzi;0;1;0.087;0.048;0.615;0.688;0.486;0.556;0.2;0.25;0.444;5;1;-;0
Clay;Reda Karakhi;1;2;0.062;0.014;0.398;0.75;0.5;0.654;0.625;0.204;0.544;8;3;-;0
Hard;Jesse Delaney;0;1;0.031;0.125;0.5;0.656;0.417;0.636;0;0.306;0.316;2;1;-;0
Clay;James Cluskey;0;1;0.077;0.051;0.59;0.739;0.536;0.8;0;0.053;0.286;0;1;-;0
Hard;Florin Mergea;0;2;0.047;0.06;0.607;0.582;0.44;0.471;0.083;0.2;0.543;12;2;-;0
Hard;Jesus Bandres;0;1;0.083;0.015;0.561;0.541;0.571;0.632;0.286;0.267;0.538;7;1;-;0
Hard;Roy Sarut De Valk;0;1;0;0.1;0.567;0.235;0.2;0.25;0.2;0.3;0.524;5;1;-;0
Clay;Roy Sarut De Valk;1;4;0.034;0.069;0.638;0.595;0.471;0.472;0.615;0.257;0.488;13;5;-;0
Hard;Alfredo Moreno;0;1;0.108;0.069;0.569;0.741;0.568;0.75;1;0.119;0.516;1;1;-;0
Grass;Jeevan Nedunchezhiyan;0;2;0.088;0.071;0.478;0.648;0.412;0.333;0.5;0.231;0.438;4;2;-;0
Clay;Jeevan Nedunchezhiyan;2;3;0.076;0.048;0.552;0.718;0.579;0.607;0.484;0.299;0.633;31;5;-;0
Hard;Jeevan Nedunchezhiyan;14;30;0.064;0.058;0.575;0.671;0.581;0.521;0.391;0.274;0.505;202;44;-;0
Clay;Edmundo Ulloa;0;1;0;0.146;0.585;0.333;0.455;0.333;0;0.118;0.688;2;1;-;0
Clay;Alexis Musialek;6;14;0.025;0.031;0.652;0.621;0.485;0.578;0.488;0.319;0.559;123;20;-;0
Hard;Alexis Musialek;5;7;0.036;0.024;0.653;0.683;0.537;0.69;0.473;0.291;0.611;74;12;-;0
Carpet;Hsien Yin Peng;0;1;0.119;0.085;0.729;0.535;0.545;0.556;0;0;0.083;0;1;-;0
Clay;Hsien Yin Peng;2;3;0.03;0.051;0.616;0.638;0.527;0.667;0.333;0.303;0.447;24;5;-;0
Hard;Hsien Yin Peng;3;11;0.055;0.047;0.624;0.662;0.485;0.552;0.443;0.275;0.503;61;14;-;0
Hard;Jordan Kerr;0;1;0.045;0.061;0.652;0.628;0.421;0.167;0.214;0.326;0.625;14;1;-;0
Clay;Jeff Dadamo;0;1;0.101;0.063;0.544;0.721;0.548;0.2;0.5;0.316;0.483;4;1;-;0
Hard;Jeff Dadamo;1;1;0.073;0.027;0.547;0.707;0.484;0.727;0.2;0.31;0.59;20;2;-;0
Clay;Sebastian Rivera;0;1;0.024;0.049;0.683;0.536;0.091;0.286;0;0.15;0.375;0;1;-;0
Hard;Osama Zoghlami;0;1;0;0.042;0.563;0.444;0.421;0.538;0.5;0.353;0.333;2;1;-;0
Hard;Sebastian Rivera;1;1;0.023;0.06;0.737;0.633;0.519;0.588;0.5;0.344;0.511;12;2;-;0
Clay;Tobias Hinzmann;0;1;0;0.111;0.667;0.333;0.5;0;0;0.053;0.231;0;1;-;0
Hard;Steffen Zornosa;0;1;0;0.079;0.73;0.63;0.667;0.6;0;0.211;0.484;8;1;-;0
Clay;Mikhail Balmashev;0;3;0.022;0.045;0.67;0.65;0.529;0.615;0.125;0.266;0.5;16;3;-;0
Clay;Sami Huurinainen;2;1;0.07;0.047;0.619;0.722;0.514;0.739;0.438;0.279;0.765;16;3;-;0
Clay;Sam Barry;2;2;0.103;0.022;0.716;0.701;0.676;0.5;0.235;0.329;0.52;34;4;-;0
Hard;Sam Barry;21;34;0.08;0.034;0.687;0.693;0.55;0.573;0.333;0.282;0.552;348;55;-;0
Grass;Matthias Wunner;0;1;0.038;0.063;0.595;0.681;0.407;0.545;0.25;0.189;0.519;4;1;-;0
