Player Name;Weight
Hans Podlipnik Castillo;1,5
Hanyi Liu;5
Hao Wu;4
Harri Heliovaara;3,666666667
Harrison Adams;5
Harry Bourchier;3,5
Hendrik Jebens;4
Henri Laaksonen;2
Henrik Sillanpaa;2
Henrik Wiersholm;3,5
Henrique Cunha;2
Henry Craig;4,25
Herkko Pollanen;2
Hernan Casanova;3,5
Hiroki Kondo;2
Hiroki Moriya;5
Hiroyasu Ehara;3,5
Holger Rune;6
Hong Chung;3,5
Hsien Yin Peng;3
Hubert Hurkacz;2,5
Hugo Dellien;3
Hugo Di Feo;2,333333333
Hugo Gaston;4
Hugo Grenier;3,5
Hugo Nys;2,5
Huixin Wang;3,5
Hunter Callahan;3
Hunter Reese;2,5
Hyeon Chung;1
Igor Ribeiro Marcondes;4
Igor Sijsling;5
Ilija Vucic;3
Illya Marchenko;6
Ilya Ivashka;2
Ilya Vasilyev;3
Inigo Cervantes Huegun;3,6
Isaiah Strode;4,5
Isak Arvidsson;2,5
Issei Okamura;3,5
Ivan Bjelica;2
Ivan Endara;3,5
Ivan Gakhov;3,5
Ivan Nedelko;3,5
Ivan Sabanov;3,5
Ivar Jose Aramburu Contreras;3,2
Ivo Klec;1,5
Ivo Minar;2,5
J J Wolf;4
Jabor Al Mutawa;3,5
Jack Draper;5
Jack Mingjie Lin;4
Jack Molloy;4,5
Jacob Dunbar;4,25
Jacob Grills;3,5
Jacopo Berrettini;4,5
Jacopo Stefanini;3
Jaime Pulgar Garcia;3,5
Jaimee Floyd Angele;4,5
Jake Delaney;4
Jakob Sude;4
Jakub Paul;5
James Duckworth;4
James Frawley;3,8
James Ibrahim;4,333333333
James Marsalek;2,5
James Mcgee;1
Jan Choinski;3,5
Jan Hajek;1,5
Jan Mertl;1,5
Jan Satral;3,5
Jan Zielinski;3,5
Janez Semrajc;1
Jannik Sinner;5,5
Jared Donaldson;1
Jared Hiltzik;3,5
Jarmere Jenkins;2
Jaroslav Pospisil;2
Jarryd Chaplin;2
Jason Jung;2
Jason Kubler;2,666666667
Jaume Munar;2,5
Jaume Pla Malfeito;3,5
Javier Barranco Cosano;4
Javier Marti;3,5
Jay Clarke;3,5
Jayden Court;5,5
Jayesh Pungliya;3,5
Jc Aragone;3,5
Jea Moon Lee;3,5
Jean Yves Aubone;2
Jeevan Nedunchezhiyan;1,5
Jelle Sels;3,5
Jenson Brooksby;4,5
Jeremy Beale;3,5
Jeremy Jahn;3,5
Jeroen Vanneste;3,5
