 PLAYER ; SURFACE ; Rank ; Points ; Games_Played ; W ; L ;   Ace_Pct   ;   Df_Pct   ;   1st_Serve_Pct   ;   1st_Serve_Won_Pct   ;   2nd_Serve_Won_Pct   ;   Break_Pt_Saved_Pct   ;   Break_Pt_Won_Pct   ;   1st_Serve_Return_Won_Pct   ;   2nd_Serve_Return_Won_Pct   
 Fredrik Ask ; Hard ; - ; -   ; 3,00 ; 1,00 ; 2,00 ; 0,07 ; 0,07 ; 0,59 ; 0,70 ; 0,55 ; 0,75 ; 0,25 ; 0,21 ; 0,39 
 Fredrik Ask ; Clay ; - ; -   ; 2,00 ; 1,00 ; 1,00 ; 0,03 ; 0,11 ; 0,64 ; 0,83 ; 0,68 ; 0,40 ; 0,46 ; 0,29 ; 0,56 
 Batyr Sapaev ; Clay ; - ; -   ; 2,00 ; 1,00 ; 1,00 ; 0,01 ; 0,09 ; 0,49 ; 0,49 ; 0,58 ; 0,47 ; 0,73 ; 0,43 ; 0,74 
 Andrei Stefan Apostol ; Clay ; - ; -   ; 6,00 ; 2,00 ; 4,00 ; 0,04 ; 0,02 ; 0,58 ; 0,65 ; 0,52 ; 0,53 ; 0,59 ; 0,36 ; 0,49 
 Caio Silva ; Clay ; - ; -   ; 7,00 ; 2,00 ; 5,00 ; 0,02 ; 0,04 ; 0,69 ; 0,59 ; 0,51 ; 0,50 ; 0,32 ; 0,30 ; 0,57 
 Tyler Hochwalt ; Hard ; - ; -   ; 9,00 ; 2,00 ; 7,00 ; 0,04 ; 0,07 ; 0,59 ; 0,66 ; 0,49 ; 0,59 ; 0,47 ; 0,24 ; 0,55 
 Caio Silva ; Hard ; - ; -   ; 3,00 ; 2,00 ; 1,00 ; 0,03 ; 0,05 ; 0,79 ; 0,73 ; 0,67 ; 0,80 ; 0,33 ; 0,19 ; 0,72 
 Dmitry Surchenko ; Hard ; - ; -   ; 11,00 ; 4,00 ; 7,00 ; 0,04 ; 0,10 ; 0,51 ; 0,69 ; 0,49 ; 0,51 ; 0,48 ; 0,28 ; 0,61 
 Keisuke Watanuki ; Carpet ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,07 ; 0,02 ; 0,61 ; 0,73 ; 0,50 ; 0,33 ;  -    ; 0,26 ; 0,36 
 Sharobiddin Abzalov ; Clay ; - ; -   ; 4,00 ; 1,00 ; 3,00 ; 0,04 ; 0,09 ; 0,60 ; 0,70 ; 0,58 ; 0,54 ; 0,46 ; 0,23 ; 0,49 
 David Nguyen ; Hard ; - ; -   ; 2,00 ; 1,00 ; 1,00 ; 0,12 ; 0,05 ; 0,57 ; 0,73 ; 0,64 ; 0,38 ; 0,39 ; 0,35 ; 0,62 
 Sharobiddin Abzalov ; Hard ; - ; -   ; 12,00 ; 2,00 ; 10,00 ; 0,07 ; 0,10 ; 0,58 ; 0,64 ; 0,52 ; 0,55 ; 0,42 ; 0,30 ; 0,52 
 Chayanon Kaewsuto ; Hard ; - ; -   ; 6,00 ; 1,00 ; 5,00 ; 0,03 ; 0,09 ; 0,54 ; 0,59 ; 0,45 ; 0,48 ; 0,57 ; 0,27 ; 0,66 
 Jakub Filipsky ; Clay ; - ; -   ; 1,00 ; -   ; 1,00 ;  -    ; 0,10 ; 0,50 ; 0,58 ; 0,38 ; 0,44 ;  -    ; 0,12 ; 0,55 
 Daniel Nolan ; Hard ; - ; -   ; 17,00 ; 8,00 ; 9,00 ; 0,02 ; 0,05 ; 0,65 ; 0,64 ; 0,59 ; 0,61 ; 0,40 ; 0,32 ; 0,60 
 Charly Zick ; Clay ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,02 ; 0,02 ; 0,68 ; 0,53 ; 0,50 ; 0,60 ;  -    ; 0,07 ; 0,33 
 Charly Zick ; Hard ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,04 ; 0,12 ; 0,57 ; 0,61 ; 0,50 ; 0,56 ;  -    ;  -    ; 0,67 
 Marin Draganja ; Hard ; - ; -   ; 5,00 ; 1,00 ; 4,00 ; 0,06 ; 0,06 ; 0,59 ; 0,67 ; 0,53 ; 0,50 ; 0,47 ; 0,28 ; 0,58 
 Marin Draganja ; Clay ; - ; -   ; 3,00 ; 1,00 ; 2,00 ; 0,00 ; 0,04 ; 0,64 ; 0,65 ; 0,50 ; 0,56 ; 0,47 ; 0,32 ; 0,53 
 Raymond Sarmiento ; Hard ; - ; -   ; 53,00 ; 27,00 ; 26,00 ; 0,05 ; 0,04 ; 0,61 ; 0,68 ; 0,58 ; 0,57 ; 0,40 ; 0,30 ; 0,58 
 Thomas Yaka Kofi Setodji ; Hard ; - ; -   ; 2,00 ; -   ; 2,00 ; 0,06 ; 0,05 ; 0,51 ; 0,63 ; 0,40 ; 0,50 ; 0,50 ; 0,19 ; 0,41 
 Romain Arneodo ; Hard ; - ; -   ; 9,00 ; 3,00 ; 6,00 ; 0,07 ; 0,03 ; 0,63 ; 0,68 ; 0,56 ; 0,67 ; 0,54 ; 0,28 ; 0,54 
 Louis Herman ; Hard ; - ; -   ; 1,00 ; -   ; 1,00 ; 0,02 ; 0,02 ; 0,55 ; 0,50 ; 0,49 ; 0,46 ; 0,80 ; 0,26 ; 0,73 
 Andreas Mies ; Hard ; - ; -   ; 2,00 ; -   ; 2,00 ; 0,10 ; 0,10 ; 0,58 ; 0,71 ; 0,47 ; 0,56 ; 0,50 ; 0,13 ; 0,61 
 August Holmgren ; Hard ; - ; -   ; 1,00 ; 1,00 ; -   ; 0,07 ; 0,06 ; 0,62 ; 0,69 ; 0,72 ; 0,88 ; 0,29 ; 0,33 ; 0,39 
 Andreas Mies ; Clay ; - ; -   ; 10,00 ; 6,00 ; 4,00 ; 0,04 ; 0,04 ; 0,65 ; 0,69 ; 0,57 ; 0,62 ; 0,49 ; 0,31 ; 0,65 
 Romain Arneodo ; Clay ; - ; -   ; 20,00 ; 8,00 ; 12,00 ; 0,04 ; 0,03 ; 0,67 ; 0,65 ; 0,54 ; 0,63 ; 0,40 ; 0,33 ; 0,60 
